sample_id,ec_uScm,tds_mgL,turbidity_NTU,temp_C,pH,do_mgL,class
351,301.4,164.38,7.78,28.47,8.25,5.16,Normal
135,159.89,96.72,22.9,27.45,7.59,7.53,Normal
1736,1386.48,719.12,138.62,32.74,9.46,3.03,Warning
1503,1014.36,543.79,82.57,20.95,9.21,3.91,Warning
716,45.08,24.09,42.32,24.11,8.62,4.24,Caution
1186,530.2,273.23,32.29,23.46,6.43,9.52,Caution
112,175.15,83.29,5.85,25.49,6.99,8.01,Normal
185,80.07,38.96,15.23,27.43,8.49,6.91,Normal
1165,23.08,10.23,29.9,30.45,8.89,9.29,Caution
1353,1324.76,714.19,69.23,32.65,9.26,10.83,Warning
97,328.6,192.8,4.91,29.25,7.68,5.02,Normal
1449,1953.94,1070.26,98.31,20.8,9.4,2.76,Warning
1182,527.36,295.4,44.98,24.61,6.32,4.21,Caution
1814,5.1,7.89,583.31,19.61,10.01,1.67,Severe
421,479.42,303.75,7.88,25.05,7.35,8.66,Normal
2123,3862.46,2016.45,422.91,18.47,4.69,14.11,Severe
2005,2999.42,1519.95,302.09,36.1,10.43,14.42,Severe
810,987.38,604.56,31.04,30.34,6.25,4.26,Caution
1452,13.23,7.27,89.3,22.17,5.57,2.65,Warning
631,185.92,117.14,4.48,25.28,7.71,5.67,Normal
706,36.48,21.4,27.41,31.34,6.26,9.3,Caution
1176,49.68,28.89,46.72,23.93,8.87,4.62,Caution
1651,1490.45,1000.45,51.28,32.79,5.79,11.17,Warning
1147,987.07,592.14,26.29,30.13,8.7,4.43,Caution
813,25.27,15.15,39.41,30.58,6.24,9.36,Caution
1905,2814.96,1372.97,323.6,37.72,10.41,13.23,Severe
681,574.02,300.58,25.47,23.49,6.47,9.16,Caution
565,266.67,127.62,13.08,28.85,7.6,6.27,Normal
1655,14.34,5.06,137.81,32.64,9.39,3.21,Warning
2087,2879.74,1710.91,548.09,36.63,4.9,0.83,Severe
383,458.06,271.81,9.1,29.08,8.43,7.89,Normal
71,214.97,113.22,13.95,28.35,7.8,8.05,Normal
1358,1539.92,892.69,103.61,33.61,5.65,11.38,Warning
362,220.61,144.88,16.57,29.66,7.27,5.6,Normal
322,84.53,36.25,5.67,29.63,6.74,5.1,Normal
1342,15.59,7.34,87.54,20.03,5.58,11.31,Warning
1524,1730.54,1102.56,129.39,21.01,5.58,11.41,Warning
1256,29.6,17.82,41.78,31.64,6.25,9.3,Caution
520,182.78,108.1,19.94,29.81,7.42,7.83,Normal
583,109.57,63.98,2.86,28.3,7.06,5.57,Normal
2146,4.35,3.47,448.58,34.87,10.0,1.82,Severe
484,258.63,109.83,24.39,28.59,7.34,8.66,Normal
1870,3032.21,1611.89,329.04,17.1,9.73,13.48,Severe
1333,1018.2,527.44,104.45,20.34,5.93,3.43,Warning
544,103.16,56.18,12.41,28.3,7.58,8.92,Normal
1018,804.6,481.86,49.0,23.31,6.22,9.57,Caution
101,278.28,125.01,24.8,25.72,6.75,7.77,Normal
1763,1312.31,681.93,138.58,21.42,9.08,2.35,Warning
325,154.65,79.91,16.99,25.16,8.01,5.58,Normal
1821,8.63,2.39,154.84,34.71,9.97,15.18,Severe
231,275.09,159.8,19.15,28.8,7.32,5.92,Normal
589,201.47,111.07,20.3,26.34,7.59,7.45,Normal
1612,13.27,10.6,123.89,32.6,9.28,3.75,Warning
1608,16.83,3.35,50.39,32.2,9.16,3.15,Warning
1958,6.56,11.66,285.13,17.94,9.59,14.56,Severe
614,147.25,84.53,12.64,29.4,7.05,6.9,Normal
248,494.29,223.73,4.61,29.63,7.74,6.03,Normal
1979,2711.52,1677.31,333.68,36.28,10.26,15.82,Severe
1832,1.18,7.73,590.28,16.23,9.95,1.7,Severe
1303,599.61,406.89,48.69,24.44,8.69,9.34,Caution
1430,11.35,15.38,129.61,32.74,5.71,11.07,Warning
2077,4252.01,1830.53,469.95,37.78,5.19,15.1,Severe
1235,31.17,12.88,37.82,30.33,8.79,4.61,Caution
841,524.43,344.11,36.21,31.07,8.8,9.85,Caution
1685,1365.77,928.15,69.93,22.61,9.36,10.35,Warning
1847,3915.4,1813.7,253.08,37.68,9.86,12.36,Severe
1576,18.75,12.95,108.02,32.29,9.42,10.36,Warning
1512,1336.34,723.95,95.97,33.06,9.36,11.16,Warning
772,35.39,26.42,27.09,30.68,8.52,5.0,Caution
553,156.33,80.54,8.11,27.88,7.24,7.27,Normal
68,113.72,67.38,11.76,27.78,8.48,8.36,Normal
1246,45.83,34.98,25.39,30.46,8.99,4.57,Caution
480,174.96,98.26,9.8,26.18,7.91,6.13,Normal
1158,33.65,15.15,30.69,31.62,6.29,4.62,Caution
1466,17.38,8.04,128.89,20.69,9.21,2.08,Warning
197,431.53,267.27,24.88,25.54,8.17,5.9,Normal
1738,17.86,14.33,143.57,22.6,5.79,2.85,Warning
1088,38.38,23.76,37.96,30.32,8.85,4.11,Caution
1334,16.06,9.34,131.01,20.68,5.82,2.96,Warning
1285,817.73,471.98,47.18,24.43,8.87,4.79,Caution
979,41.56,17.9,28.28,23.84,8.74,9.04,Caution
530,288.84,136.69,21.31,26.7,8.1,5.6,Normal
863,580.36,362.61,25.54,31.54,6.28,4.79,Caution
291,422.04,229.14,4.33,27.49,7.65,7.32,Normal
907,21.76,19.83,45.94,30.57,8.71,4.66,Caution
1619,14.79,14.97,142.36,22.1,9.47,3.81,Warning
949,21.83,13.03,38.5,31.13,6.21,4.43,Caution
533,435.53,257.65,7.94,26.06,8.22,5.17,Normal
1537,17.31,6.81,78.61,20.97,9.39,3.31,Warning
922,647.96,443.66,31.5,23.52,8.85,4.84,Caution
129,279.02,148.63,22.77,27.02,7.98,7.25,Normal
1069,32.77,18.88,26.2,24.6,6.42,4.67,Caution
528,440.67,252.7,13.89,25.34,8.05,5.69,Normal
411,61.92,31.5,23.62,28.78,8.43,6.99,Normal
1630,1918.74,1230.79,106.5,22.89,9.12,2.12,Warning
2138,1.04,2.73,474.52,19.02,4.74,1.8,Severe
52,114.36,54.03,19.64,29.49,6.68,5.12,Normal
1548,1656.63,777.94,108.86,22.5,9.35,2.92,Warning
1767,15.08,3.53,69.14,33.13,9.1,2.25,Warning
1232,532.74,256.71,47.45,23.87,8.91,4.13,Caution
495,284.85,139.57,5.73,25.72,7.36,8.82,Normal
2038,4706.9,2164.68,273.61,34.73,9.89,12.8,Severe
1961,3.96,1.28,407.25,17.24,5.22,1.76,Severe
611,179.82,104.73,5.32,29.44,7.51,8.17,Normal
1114,45.34,24.12,38.92,30.77,6.48,4.88,Caution
483,235.54,148.42,1.05,25.56,6.91,5.48,Normal
1575,1825.3,889.13,136.13,32.05,5.8,3.86,Warning
1472,13.91,0.02,105.91,32.34,9.44,3.51,Warning
232,312.1,205.28,24.84,26.43,6.95,6.0,Normal
255,491.45,269.15,2.02,28.94,7.07,7.53,Normal
333,251.27,133.38,10.57,27.87,6.64,6.87,Normal
1753,17.64,7.98,52.39,32.11,5.77,3.59,Warning
1490,11.88,4.48,99.46,32.67,5.69,10.02,Warning
1815,2635.9,1463.04,415.31,18.24,10.15,1.68,Severe
189,386.27,211.07,22.47,25.66,7.99,5.79,Normal
1456,1905.09,1032.17,111.57,22.98,9.37,10.92,Warning
415,173.74,94.84,1.63,27.53,8.2,5.89,Normal
1217,761.67,396.52,44.22,30.16,8.66,4.09,Caution
234,171.11,98.62,8.7,29.93,8.47,8.62,Normal
1183,40.24,20.71,37.33,24.45,6.3,9.27,Caution
1786,11.53,5.92,71.09,33.81,5.62,3.77,Warning
1051,810.44,386.31,38.9,30.55,6.01,4.98,Caution
1134,976.12,595.41,34.79,24.43,8.96,4.77,Caution
651,46.27,23.12,40.05,23.96,8.91,9.26,Caution
1643,19.1,15.94,143.53,33.51,5.94,10.03,Warning
1840,3.7,5.64,180.33,34.92,4.92,15.21,Severe
1710,1490.49,773.11,79.94,22.69,5.77,10.56,Warning
1226,36.83,23.83,29.4,30.02,8.63,9.23,Caution
2085,2193.87,1023.6,190.82,34.28,4.75,1.24,Severe
1838,4.28,0.02,548.97,37.78,9.96,0.88,Severe
966,901.25,585.09,35.01,31.39,6.45,4.79,Caution
874,992.82,470.62,44.47,24.97,8.8,9.51,Caution
2050,3925.6,2399.05,347.12,15.89,10.21,1.28,Severe
875,646.89,394.8,42.12,31.48,8.88,4.42,Caution
679,727.4,350.41,32.2,31.1,6.3,9.97,Caution
121,299.49,155.57,5.99,27.41,8.4,8.81,Normal
708,44.62,28.65,39.54,31.73,6.39,9.02,Caution
1554,1204.56,571.52,130.36,21.13,9.02,3.07,Warning
368,116.58,60.45,22.92,29.38,8.42,5.61,Normal
57,491.01,296.1,12.01,25.87,7.92,5.37,Normal
556,236.64,154.13,8.85,25.22,7.67,8.3,Normal
1056,24.12,13.24,47.91,24.87,8.9,4.88,Caution
1834,3864.27,2044.54,453.36,19.77,5.34,13.9,Severe
1959,2593.95,1619.43,155.97,36.64,4.96,15.34,Severe
2071,6.12,7.91,259.88,19.56,4.64,1.43,Severe
1076,48.2,30.85,32.46,24.61,8.69,9.24,Caution
1387,1577.42,845.9,108.52,32.77,5.77,3.57,Warning
1646,1539.23,882.87,67.06,33.32,9.12,3.85,Warning
991,39.44,24.36,43.28,31.11,8.53,9.57,Caution
212,407.85,243.46,24.06,28.39,7.97,7.09,Normal
276,442.64,291.88,12.58,25.52,6.81,9.0,Normal
1695,1534.86,846.36,57.19,33.76,9.27,10.03,Warning
1470,12.72,11.11,128.06,22.69,9.21,11.05,Warning
1160,651.01,409.94,41.93,31.76,6.1,4.14,Caution
427,445.31,266.39,23.18,25.77,7.31,7.11,Normal
1132,611.98,301.22,39.51,24.95,6.17,9.42,Caution
1980,5.77,0.0,471.99,18.89,10.34,14.4,Severe
2052,4.74,5.71,436.9,37.98,9.64,12.16,Severe
1875,2837.26,1874.45,513.0,18.17,9.82,15.83,Severe
866,30.55,9.6,36.55,24.34,8.76,9.36,Caution
45,271.47,175.93,15.39,27.61,7.43,8.06,Normal
462,351.54,217.21,11.54,25.3,7.87,5.61,Normal
1284,866.04,398.17,43.79,31.97,8.9,9.44,Caution
901,36.06,15.46,47.77,30.72,8.53,9.22,Caution
535,315.45,157.03,20.43,25.42,7.71,5.26,Normal
472,107.55,59.51,9.38,27.62,6.95,8.71,Normal
1653,1807.29,800.31,132.54,22.15,5.96,10.86,Warning
410,374.21,212.68,14.9,25.45,7.34,6.73,Normal
260,353.67,188.94,7.32,26.0,7.28,7.72,Normal
1468,19.13,23.68,81.66,32.54,5.75,2.72,Warning
1107,46.51,26.75,37.1,23.35,8.92,9.39,Caution
1533,1064.83,594.77,105.41,33.56,9.48,11.95,Warning
1582,1879.63,908.33,61.38,33.72,5.76,11.74,Warning
70,87.85,55.59,6.85,27.45,7.08,7.35,Normal
619,216.7,95.18,8.64,26.22,7.47,5.94,Normal
1164,728.0,322.84,36.95,30.67,8.91,4.27,Caution
355,78.89,41.16,19.42,26.05,6.99,7.35,Normal
290,168.23,92.16,24.66,25.33,6.57,6.61,Normal
441,186.61,104.79,22.33,26.14,8.09,7.37,Normal
2131,3648.4,2362.14,552.01,15.83,4.61,12.32,Severe
1743,1515.77,866.75,84.25,20.31,9.29,3.29,Warning
580,106.0,66.83,11.0,29.22,7.43,8.21,Normal
1726,1704.01,1111.31,65.02,22.71,5.58,10.11,Warning
953,710.23,458.61,44.97,30.05,8.5,4.65,Caution
753,27.49,17.81,35.92,31.2,8.55,4.85,Caution
282,364.24,210.26,24.68,28.97,8.32,5.23,Normal
1660,1641.84,761.84,128.23,33.93,5.55,11.31,Warning
536,371.24,191.15,24.94,27.67,7.68,7.75,Normal
1412,1433.43,877.91,92.7,32.68,5.58,2.4,Warning
299,165.93,82.53,5.55,25.05,7.22,7.38,Normal
722,37.08,8.89,28.91,31.72,8.79,9.82,Caution
1547,10.85,4.63,122.61,20.68,5.96,11.53,Warning
1933,1.88,2.3,439.45,16.79,9.61,15.39,Severe
2045,1.83,7.19,210.29,36.23,5.12,15.87,Severe
240,150.99,76.3,2.1,26.5,7.49,6.91,Normal
100,382.36,250.45,8.61,25.83,6.54,7.9,Normal
1272,744.71,352.68,33.51,31.3,6.36,9.18,Caution
1550,1722.87,803.3,111.22,32.07,9.27,10.67,Warning
1201,684.88,351.98,31.34,23.57,6.37,9.8,Caution
582,173.17,90.13,4.78,29.05,7.32,6.36,Normal
1194,700.04,365.19,40.2,30.81,8.97,9.55,Caution
1929,1.37,1.81,391.6,16.14,10.05,1.7,Severe
1152,672.32,334.7,42.93,30.22,8.98,9.51,Caution
1442,16.59,3.47,113.93,22.57,5.71,10.56,Warning
1859,9.79,0.0,543.66,35.05,5.12,1.88,Severe
407,393.54,196.46,23.84,26.69,7.45,5.91,Normal
2032,2234.13,1147.46,531.87,35.92,5.4,12.54,Severe
125,77.93,35.66,12.0,25.01,7.78,8.97,Normal
1761,15.9,5.4,72.29,33.57,5.8,3.7,Warning
186,264.0,161.66,2.45,29.91,6.6,6.88,Normal
486,136.54,80.94,4.44,26.56,7.74,6.6,Normal
66,397.45,221.11,8.46,26.82,6.74,8.83,Normal
756,674.1,372.61,40.99,30.66,8.64,4.94,Caution
2141,4849.02,3092.14,496.49,37.91,4.67,13.05,Severe
687,535.56,313.42,27.83,30.12,6.38,9.42,Caution
1356,12.33,11.54,107.28,20.92,9.07,10.36,Warning
1703,12.59,10.14,110.7,32.99,9.07,3.27,Warning
974,34.73,17.19,39.1,30.24,8.97,9.34,Caution
2080,7.36,0.0,374.37,37.71,9.75,2.0,Severe
669,48.82,22.4,31.76,23.31,6.47,4.81,Caution
1976,4360.48,2712.36,151.39,36.12,9.87,13.21,Severe
1971,3913.84,2520.4,594.4,35.44,5.35,1.05,Severe
675,32.0,14.85,44.65,23.23,8.75,4.87,Caution
2009,6.21,0.0,226.17,36.06,10.1,12.33,Severe
943,39.2,25.44,27.01,31.4,6.11,4.8,Caution
213,493.98,263.05,3.25,26.76,8.47,7.55,Normal
2060,7.73,1.1,368.94,34.66,10.06,13.62,Severe
1511,14.83,0.0,145.49,21.27,9.49,10.07,Warning
1592,13.67,1.31,100.74,20.44,9.18,10.24,Warning
1948,3031.61,1860.46,593.81,34.87,10.32,0.76,Severe
963,20.22,18.69,32.85,30.22,6.12,4.11,Caution
1527,1674.72,845.83,135.28,21.35,5.9,2.1,Warning
832,37.59,15.64,36.23,24.71,8.9,9.95,Caution
1331,1911.42,1095.56,50.26,33.56,9.34,11.9,Warning
1727,18.1,4.02,148.12,21.37,5.54,3.56,Warning
211,227.8,150.48,19.89,27.51,6.98,7.02,Normal
1037,42.21,22.86,32.06,31.88,8.59,4.34,Caution
1559,1942.56,1039.07,102.11,33.74,9.13,10.19,Warning
965,46.01,20.41,31.18,24.47,8.84,4.87,Caution
221,311.11,178.69,19.59,25.37,8.48,5.53,Normal
1681,1972.22,1123.01,119.4,22.85,5.52,10.79,Warning
238,411.24,184.24,22.43,27.22,7.71,6.77,Normal
757,21.55,13.77,49.33,30.87,8.68,4.55,Caution
417,315.33,164.29,19.57,27.51,6.71,7.69,Normal
481,86.65,42.21,12.28,29.02,6.94,6.75,Normal
1648,14.97,7.31,103.88,21.54,9.27,10.71,Warning
728,46.1,18.05,37.17,30.81,6.44,9.15,Caution
298,386.63,218.3,2.72,28.81,6.59,8.95,Normal
910,884.16,543.81,30.05,23.8,6.45,4.9,Caution
2073,3.67,5.29,332.94,37.48,9.89,15.31,Severe
14,93.38,41.89,22.66,28.58,8.06,6.8,Normal
894,777.04,472.19,41.48,31.4,8.57,9.25,Caution
297,431.45,206.86,6.7,28.01,8.24,5.54,Normal
1407,11.88,1.56,143.64,33.45,5.95,10.99,Warning
1842,2122.25,1213.17,492.75,36.74,4.8,1.27,Severe
1230,33.88,19.87,28.94,23.11,6.21,9.42,Caution
1926,4810.97,2199.22,451.31,36.51,10.46,0.74,Severe
343,375.81,174.71,21.1,27.49,6.87,5.13,Normal
1338,12.15,15.09,50.01,33.31,9.41,10.36,Warning
1481,13.63,8.79,88.13,22.51,6.0,11.45,Warning
1191,34.23,18.8,36.37,24.23,8.89,9.92,Caution
1661,1100.76,614.03,84.7,22.03,9.41,3.86,Warning
906,40.64,23.07,37.84,30.43,8.61,4.62,Caution
887,955.43,532.17,44.67,30.18,8.72,4.51,Caution
603,54.84,26.13,3.95,26.66,7.98,8.31,Normal
1450,1578.94,945.77,142.7,22.8,5.81,10.82,Warning
509,465.45,272.49,13.94,28.65,7.05,6.24,Normal
737,40.68,26.4,39.05,23.19,8.71,9.04,Caution
1432,1647.07,1030.74,125.6,32.25,5.86,2.89,Warning
1324,11.02,5.81,138.0,33.45,9.05,11.24,Warning
1951,6.16,0.0,326.15,16.3,10.37,13.54,Severe
317,278.24,144.1,11.49,26.89,8.06,5.05,Normal
941,46.84,17.21,32.9,23.24,8.88,4.67,Caution
106,117.22,64.12,24.08,29.45,6.69,6.58,Normal
1095,26.15,14.6,46.94,31.59,8.52,4.08,Caution
122,259.26,145.99,10.61,29.58,6.74,6.29,Normal
2061,2945.02,1763.58,569.88,16.45,5.35,13.42,Severe
1904,4.1,3.42,211.71,34.24,5.06,13.96,Severe
1819,3200.6,1474.55,200.45,17.71,10.28,1.08,Severe
1390,19.31,0.45,112.15,20.36,5.5,2.26,Warning
1305,575.88,272.64,34.7,24.65,8.88,9.38,Caution
1395,1828.05,1128.91,85.1,21.46,9.31,2.71,Warning
116,312.9,149.72,18.64,26.27,6.83,5.64,Normal
77,387.49,174.04,9.32,29.92,8.44,6.15,Normal
1784,1838.64,1013.03,57.57,22.59,9.3,10.06,Warning
508,308.29,159.59,4.75,25.15,6.85,6.63,Normal
1406,1412.77,741.2,92.03,22.48,5.5,2.0,Warning
1897,7.09,6.34,355.2,16.12,5.17,1.14,Severe
2130,8.06,8.23,519.18,36.84,10.01,1.4,Severe
1447,12.15,0.0,50.67,32.33,5.73,3.89,Warning
696,661.27,341.31,47.66,24.78,8.53,4.8,Caution
1413,1310.05,670.05,106.43,32.44,9.45,3.9,Warning
423,467.12,217.57,2.79,29.87,7.9,5.11,Normal
1841,4501.05,2724.76,203.99,37.9,4.77,12.88,Severe
1055,22.2,11.91,39.78,31.16,8.6,9.57,Caution
1445,18.71,18.13,62.97,32.6,9.2,10.97,Warning
1588,15.69,2.18,64.5,22.77,5.77,2.88,Warning
384,401.41,201.48,19.26,26.11,7.03,5.46,Normal
1538,11.98,0.0,77.7,22.32,5.96,11.83,Warning
1852,2.66,1.54,497.88,17.15,9.65,13.97,Severe
1811,2.91,1.37,583.29,36.5,9.73,12.57,Severe
1282,711.64,356.94,36.43,23.51,6.08,4.38,Caution
434,303.34,179.76,17.8,27.21,7.63,7.82,Normal
999,705.14,307.87,43.68,23.53,8.72,9.22,Caution
1229,40.9,21.19,37.91,23.44,8.75,4.18,Caution
1837,9.3,6.64,482.07,36.89,4.68,15.54,Severe
1388,11.77,5.26,118.94,33.21,5.7,3.97,Warning
1212,794.2,465.85,25.22,31.44,6.13,4.25,Caution
1792,2010.95,1209.92,277.04,34.47,5.12,1.37,Severe
944,783.26,387.88,41.8,23.22,6.34,9.4,Caution
1910,4960.55,2640.69,253.3,17.01,10.25,1.94,Severe
1058,993.03,541.77,48.85,31.71,6.46,4.24,Caution
1946,2197.62,1222.54,424.48,36.32,4.85,12.64,Severe
409,92.4,53.08,5.58,28.32,6.71,5.13,Normal
1352,10.1,0.0,128.7,33.91,9.17,10.88,Warning
1180,40.72,25.91,38.16,30.37,6.48,4.43,Caution
369,408.77,200.19,24.28,25.06,6.81,5.99,Normal
1600,1294.31,612.14,108.16,22.88,9.4,3.78,Warning
1944,2339.95,980.94,330.13,15.63,5.36,12.56,Severe
64,75.01,37.22,7.73,25.58,7.49,5.29,Normal
1458,16.21,18.73,102.34,33.72,9.28,10.88,Warning
1448,17.95,1.44,112.33,22.22,9.07,2.81,Warning
1006,30.96,27.91,35.7,23.77,8.99,4.88,Caution
1360,12.95,10.17,59.51,33.04,5.58,3.47,Warning
597,358.05,164.3,12.79,26.59,8.24,8.0,Normal
2152,3.5,0.0,473.87,18.08,4.72,12.23,Severe
1888,3.98,0.0,573.56,18.59,4.79,0.77,Severe
1104,24.86,8.19,46.98,31.99,8.64,4.21,Caution
1999,2761.88,1746.51,576.57,16.68,9.65,12.52,Severe
2142,4866.98,2485.0,178.06,15.53,10.02,12.22,Severe
1262,873.14,447.36,30.0,30.54,6.42,4.6,Caution
206,411.22,207.25,7.38,26.45,7.43,8.18,Normal
694,951.93,460.75,45.98,23.13,6.41,4.76,Caution
1500,1900.44,876.79,127.75,32.12,5.87,11.58,Warning
1866,4786.98,3065.98,268.27,15.49,10.4,1.3,Severe
857,34.89,10.44,43.72,23.92,6.44,4.11,Caution
2033,2207.09,1081.71,466.52,16.19,5.1,1.4,Severe
1636,14.5,4.99,112.49,20.91,9.45,3.48,Warning
24,386.06,235.49,7.3,28.31,8.04,6.49,Normal
1793,4.04,0.0,162.72,18.26,4.94,14.49,Severe
545,124.53,69.49,15.17,26.42,7.36,5.48,Normal
650,33.82,16.11,41.33,30.28,6.22,9.29,Caution
199,231.3,131.96,21.02,25.98,6.84,5.23,Normal
50,256.35,133.52,11.62,27.27,6.52,8.3,Normal
174,76.92,35.13,21.03,29.68,6.59,8.35,Normal
1304,663.71,417.29,45.02,23.17,8.65,9.87,Caution
451,483.93,252.98,15.92,26.83,7.89,5.64,Normal
995,25.16,20.59,37.27,31.55,6.01,4.3,Caution
1011,27.94,20.75,35.22,23.28,6.06,9.61,Caution
1365,10.28,8.63,96.9,21.81,5.66,3.1,Warning
1520,1632.38,932.84,87.87,33.48,9.14,11.86,Warning
745,25.01,11.73,27.28,31.13,8.92,9.18,Caution
72,459.3,273.36,15.09,28.84,7.47,8.41,Normal
428,302.87,155.48,8.89,29.92,7.62,5.99,Normal
1883,4155.45,2185.69,185.75,17.31,10.4,0.58,Severe
439,221.42,124.32,13.14,27.6,8.03,8.47,Normal
917,41.29,19.98,47.05,31.41,6.45,9.59,Caution
487,446.55,271.49,14.13,26.87,7.56,7.67,Normal
837,800.72,388.84,45.38,30.35,8.52,4.51,Caution
2086,2852.07,1328.13,521.93,34.08,4.78,13.29,Severe
1138,654.11,375.42,40.88,24.23,8.51,9.02,Caution
1090,587.64,301.02,33.84,23.4,8.83,4.36,Caution
1641,17.33,11.6,114.97,32.34,9.27,3.62,Warning
1087,694.91,316.38,34.46,30.37,6.11,9.21,Caution
612,147.52,79.64,3.89,29.4,7.64,5.49,Normal
591,151.54,80.79,19.7,25.66,6.6,7.55,Normal
257,475.44,255.6,7.38,27.37,8.46,5.52,Normal
1606,1597.92,784.27,136.65,32.8,9.11,11.67,Warning
562,194.63,107.38,15.14,27.06,7.29,5.75,Normal
539,297.93,174.27,2.41,28.09,7.6,5.24,Normal
446,83.17,49.38,19.38,29.1,7.27,6.03,Normal
572,447.6,236.48,6.65,27.53,8.04,8.65,Normal
1642,19.73,5.93,58.59,20.84,9.4,3.89,Warning
21,299.68,189.62,9.9,29.58,6.72,5.92,Normal
2021,6.6,3.68,278.82,16.1,10.4,12.67,Severe
1673,12.1,11.48,50.31,32.71,9.36,3.44,Warning
382,131.87,69.5,18.56,26.87,8.27,6.78,Normal
1234,919.24,480.19,42.91,24.41,6.17,4.43,Caution
568,375.85,240.59,1.59,26.25,7.85,7.98,Normal
1682,1901.54,1077.34,134.14,20.76,5.68,10.3,Warning
850,23.9,19.23,25.92,24.07,6.03,4.34,Caution
964,824.82,492.26,44.98,31.1,6.25,9.74,Caution
465,458.11,255.61,14.76,28.55,7.0,8.03,Normal
868,824.2,452.39,49.4,23.26,6.25,9.27,Caution
1607,1607.81,770.2,82.69,22.2,5.77,2.91,Warning
1112,29.78,10.27,46.52,24.72,8.66,9.36,Caution
1259,43.16,22.49,35.43,31.2,6.11,9.66,Caution
1320,11.54,1.61,95.42,23.0,5.83,10.08,Warning
1717,1741.37,1089.82,86.47,33.9,9.11,11.57,Warning
375,85.78,42.96,19.02,28.87,6.67,7.36,Normal
271,276.21,140.84,4.64,27.51,7.16,6.67,Normal
989,656.62,392.97,46.59,31.65,6.44,4.59,Caution
1419,1096.51,497.27,56.17,20.34,5.69,11.4,Warning
618,212.41,103.26,18.15,26.18,6.96,8.43,Normal
2041,5.9,0.0,488.95,15.49,4.82,14.59,Severe
1932,9.53,4.28,348.1,15.31,10.19,1.64,Severe
1728,1224.32,628.39,101.25,21.52,6.0,11.77,Warning
430,301.66,141.64,1.02,26.64,8.01,8.29,Normal
26,56.27,30.03,6.51,29.86,8.05,7.0,Normal
1672,11.02,13.39,145.94,33.32,9.37,2.73,Warning
1038,38.72,16.24,26.18,31.04,6.23,9.06,Caution
1972,2319.46,1290.42,464.15,36.0,5.29,1.3,Severe
