sample_id,ec_uScm,tds_mgL,turbidity_NTU,temp_C,pH,do_mgL,真实标签,预测标签,概率_Caution,概率_Normal,概率_Severe,概率_Warning
8,350.78,195.16,12.31,27.84,7.42,5.56,Normal,Normal,0.0,1.0,0.0,0.0
129,279.02,148.63,22.77,27.02,7.98,7.25,Normal,Normal,0.0,1.0,0.0,0.0
386,126.47,57.65,23.88,25.42,6.59,6.56,Normal,Normal,0.0,1.0,0.0,0.0
355,78.89,41.16,19.42,26.05,6.99,7.35,Normal,Normal,0.0,1.0,0.0,0.0
1386,18.03,6.3,87.95,32.95,9.31,2.85,Warning,Warning,0.0,0.0,0.0,1.0
1480,1807.26,1165.65,120.16,22.92,5.63,11.82,Warning,Warning,0.005,0.0,0.025,0.97
260,353.67,188.94,7.32,26.0,7.28,7.72,Normal,Normal,0.0,1.0,0.0,0.0
299,165.93,82.53,5.55,25.05,7.22,7.38,Normal,Normal,0.0,1.0,0.0,0.0
288,319.18,202.14,22.55,26.62,7.37,7.09,Normal,Normal,0.0,1.0,0.0,0.0
438,389.92,183.81,15.63,29.94,7.91,8.89,Normal,Normal,0.0,1.0,0.0,0.0
2015,2826.24,1584.92,547.18,15.76,9.69,1.24,Severe,Severe,0.0,0.0,1.0,0.0
1016,49.1,30.81,32.85,24.2,8.61,4.46,Caution,Caution,1.0,0.0,0.0,0.0
2087,2879.74,1710.91,548.09,36.63,4.9,0.83,Severe,Severe,0.0,0.0,1.0,0.0
690,604.97,305.36,42.4,30.84,6.07,9.02,Caution,Caution,1.0,0.0,0.0,0.0
435,51.12,29.89,21.54,26.04,7.99,6.99,Normal,Normal,0.055,0.945,0.0,0.0
321,295.34,184.59,15.88,27.79,6.53,8.0,Normal,Normal,0.0,1.0,0.0,0.0
684,22.02,16.29,47.43,30.83,6.32,9.57,Caution,Caution,1.0,0.0,0.0,0.0
1382,1129.11,641.9,74.0,21.55,9.24,2.52,Warning,Warning,0.0,0.0,0.0,1.0
2042,3.88,0.0,327.76,18.36,5.21,14.11,Severe,Severe,0.0,0.0,1.0,0.0
502,266.01,154.76,22.72,29.73,8.09,7.61,Normal,Normal,0.0,1.0,0.0,0.0
35,193.1,117.08,13.11,27.96,6.61,7.72,Normal,Normal,0.0,1.0,0.0,0.0
1083,41.94,29.92,30.61,23.12,8.64,4.05,Caution,Caution,1.0,0.0,0.0,0.0
331,467.13,272.74,10.47,29.07,7.34,7.98,Normal,Normal,0.0,1.0,0.0,0.0
1985,7.47,1.94,559.83,16.4,4.66,14.19,Severe,Severe,0.0,0.0,1.0,0.0
983,43.67,29.97,45.73,24.71,8.85,4.55,Caution,Caution,1.0,0.0,0.0,0.0
1081,830.42,456.51,30.59,24.31,6.06,9.81,Caution,Caution,1.0,0.0,0.0,0.0
1238,42.66,20.86,46.23,24.03,6.36,9.54,Caution,Caution,1.0,0.0,0.0,0.0
48,401.14,221.37,12.5,28.65,7.27,7.21,Normal,Normal,0.0,1.0,0.0,0.0
426,432.63,222.29,21.66,28.1,6.96,8.15,Normal,Normal,0.0,1.0,0.0,0.0
1040,35.21,23.57,33.68,24.67,6.29,4.7,Caution,Caution,1.0,0.0,0.0,0.0
1284,866.04,398.17,43.79,31.97,8.9,9.44,Caution,Caution,1.0,0.0,0.0,0.0
528,440.67,252.7,13.89,25.34,8.05,5.69,Normal,Normal,0.0,1.0,0.0,0.0
634,402.77,254.07,10.99,25.26,7.33,8.73,Normal,Normal,0.0,1.0,0.0,0.0
2068,9.22,1.47,452.85,37.85,9.89,14.64,Severe,Severe,0.0,0.0,0.995,0.005
1486,1276.35,800.94,149.29,22.48,9.16,11.45,Warning,Warning,0.0,0.0,0.005,0.995
1979,2711.52,1677.31,333.68,36.28,10.26,15.82,Severe,Severe,0.0,0.0,1.0,0.0
134,249.77,150.29,23.46,27.0,6.55,8.5,Normal,Normal,0.0,1.0,0.0,0.0
877,974.62,504.9,39.32,31.77,6.35,9.12,Caution,Caution,1.0,0.0,0.0,0.0
1247,41.82,24.77,27.64,24.54,8.86,9.58,Caution,Caution,1.0,0.0,0.0,0.0
1733,17.05,7.69,78.95,21.09,5.72,3.34,Warning,Warning,0.0,0.0,0.0,1.0
1029,30.82,15.11,42.08,24.59,6.03,9.91,Caution,Caution,1.0,0.0,0.0,0.0
1883,4155.45,2185.69,185.75,17.31,10.4,0.58,Severe,Severe,0.0,0.0,0.995,0.005
1223,802.15,404.22,37.54,23.27,6.18,9.41,Caution,Caution,1.0,0.0,0.0,0.0
1488,19.6,5.11,125.65,33.51,5.58,2.76,Warning,Warning,0.0,0.0,0.0,1.0
1964,3120.8,1595.12,411.66,34.01,10.5,1.16,Severe,Severe,0.0,0.0,0.88,0.12
1636,14.5,4.99,112.49,20.91,9.45,3.48,Warning,Warning,0.0,0.0,0.0,1.0
1310,11.46,3.69,64.61,20.41,9.06,10.17,Warning,Warning,0.0,0.0,0.0,1.0
28,185.43,114.71,12.73,25.62,6.76,8.71,Normal,Normal,0.0,1.0,0.0,0.0
2103,8.12,2.24,199.57,36.06,4.96,0.58,Severe,Severe,0.0,0.0,1.0,0.0
621,189.83,92.74,4.85,29.57,8.12,8.64,Normal,Normal,0.0,1.0,0.0,0.0
620,311.98,160.26,10.89,25.35,7.75,6.27,Normal,Normal,0.0,1.0,0.0,0.0
1357,16.41,1.16,80.12,20.36,9.07,3.49,Warning,Warning,0.0,0.0,0.0,1.0
1699,10.43,8.18,100.06,32.94,5.65,11.35,Warning,Warning,0.0,0.0,0.005,0.995
837,800.72,388.84,45.38,30.35,8.52,4.51,Caution,Caution,0.995,0.005,0.0,0.0
600,473.27,224.69,11.27,27.59,7.66,7.72,Normal,Normal,0.0,1.0,0.0,0.0
767,43.71,31.57,35.59,31.21,8.7,9.57,Caution,Caution,1.0,0.0,0.0,0.0
95,370.2,168.71,4.61,29.65,7.16,5.19,Normal,Normal,0.0,1.0,0.0,0.0
1586,1632.74,988.27,89.04,22.14,9.29,11.21,Warning,Warning,0.0,0.0,0.0,1.0
790,724.73,371.53,34.84,24.68,8.82,9.74,Caution,Caution,1.0,0.0,0.0,0.0
948,656.32,330.06,29.3,23.85,6.42,4.5,Caution,Caution,1.0,0.0,0.0,0.0
70,87.85,55.59,6.85,27.45,7.08,7.35,Normal,Normal,0.0,1.0,0.0,0.0
1015,763.32,443.49,35.61,23.41,8.56,9.09,Caution,Caution,1.0,0.0,0.0,0.0
1789,2209.44,1245.82,470.18,34.74,5.29,1.77,Severe,Severe,0.0,0.0,1.0,0.0
1801,4317.06,2701.75,170.5,37.52,10.12,12.16,Severe,Severe,0.0,0.0,0.99,0.01
89,416.59,249.09,22.66,27.38,7.38,8.98,Normal,Normal,0.01,0.99,0.0,0.0
507,131.45,79.89,10.43,26.41,8.08,7.78,Normal,Normal,0.0,1.0,0.0,0.0
116,312.9,149.72,18.64,26.27,6.83,5.64,Normal,Normal,0.0,1.0,0.0,0.0
1300,35.01,19.42,30.95,24.26,6.44,9.15,Caution,Caution,1.0,0.0,0.0,0.0
440,57.42,37.43,12.36,29.19,6.81,6.94,Normal,Normal,0.0,1.0,0.0,0.0
1922,3747.66,1782.85,597.02,19.41,5.21,1.68,Severe,Severe,0.0,0.0,1.0,0.0
659,28.31,18.96,33.49,23.72,6.08,4.7,Caution,Caution,1.0,0.0,0.0,0.0
2001,7.13,5.33,285.22,34.29,9.96,1.95,Severe,Severe,0.0,0.0,0.995,0.005
16,68.73,37.25,12.86,28.25,7.67,5.34,Normal,Normal,0.0,1.0,0.0,0.0
493,317.0,213.24,24.74,29.72,8.42,7.86,Normal,Normal,0.0,1.0,0.0,0.0
197,431.53,267.27,24.88,25.54,8.17,5.9,Normal,Normal,0.0,1.0,0.0,0.0
860,865.58,404.78,45.18,30.84,6.12,4.6,Caution,Caution,1.0,0.0,0.0,0.0
2101,3381.02,1820.47,241.87,19.8,4.65,14.74,Severe,Severe,0.0,0.0,1.0,0.0
962,821.03,415.99,25.95,24.64,6.07,9.69,Caution,Caution,1.0,0.0,0.0,0.0
1171,854.7,447.96,49.62,31.22,8.86,4.9,Caution,Caution,1.0,0.0,0.0,0.0
1118,40.6,25.63,27.22,23.64,6.07,9.89,Caution,Caution,1.0,0.0,0.0,0.0
1205,36.58,18.88,30.93,32.0,8.66,4.59,Caution,Caution,0.885,0.0,0.0,0.115
63,284.12,140.89,20.2,29.43,7.97,8.68,Normal,Normal,0.0,1.0,0.0,0.0
148,128.91,73.09,20.75,25.59,8.0,5.34,Normal,Normal,0.0,1.0,0.0,0.0
1449,1953.94,1070.26,98.31,20.8,9.4,2.76,Warning,Warning,0.0,0.0,0.0,1.0
1438,11.09,3.63,147.77,22.24,9.29,3.81,Warning,Warning,0.0,0.0,0.0,1.0
1534,16.14,0.67,117.38,20.88,9.04,2.11,Warning,Warning,0.0,0.0,0.0,1.0
1867,1.07,8.65,539.57,15.4,9.69,15.46,Severe,Severe,0.0,0.0,1.0,0.0
635,497.67,294.04,14.33,28.79,7.32,6.37,Normal,Normal,0.0,1.0,0.0,0.0
1872,3047.57,1445.96,254.28,37.33,4.95,14.9,Severe,Severe,0.0,0.0,1.0,0.0
591,151.54,80.79,19.7,25.66,6.6,7.55,Normal,Normal,0.0,1.0,0.0,0.0
364,499.73,237.58,1.18,29.27,6.99,5.14,Normal,Normal,0.035,0.965,0.0,0.0
307,442.84,221.24,17.3,25.51,7.71,6.09,Normal,Normal,0.0,1.0,0.0,0.0
2056,2430.75,1371.61,213.5,34.43,4.6,13.45,Severe,Severe,0.0,0.0,1.0,0.0
1790,2954.54,1441.03,186.89,18.03,9.51,0.67,Severe,Severe,0.0,0.0,0.91,0.09
869,610.58,394.45,42.08,30.22,6.03,9.88,Caution,Caution,1.0,0.0,0.0,0.0
944,783.26,387.88,41.8,23.22,6.34,9.4,Caution,Caution,1.0,0.0,0.0,0.0
371,344.26,204.21,18.04,29.65,6.76,7.02,Normal,Normal,0.0,1.0,0.0,0.0
1228,707.52,279.78,27.66,24.92,8.52,9.61,Caution,Caution,0.99,0.01,0.0,0.0
594,172.62,102.3,16.81,29.61,7.51,7.03,Normal,Normal,0.0,1.0,0.0,0.0
1190,43.66,22.2,43.12,24.84,8.59,9.9,Caution,Caution,1.0,0.0,0.0,0.0
972,27.81,14.64,34.81,23.01,6.25,9.64,Caution,Caution,0.97,0.0,0.0,0.03
1049,36.28,7.07,38.16,24.9,8.78,9.3,Caution,Caution,1.0,0.0,0.0,0.0
738,49.43,22.9,35.62,31.2,8.95,9.46,Caution,Caution,1.0,0.0,0.0,0.0
867,695.64,378.53,26.14,24.54,6.39,9.17,Caution,Caution,1.0,0.0,0.0,0.0
1184,40.85,23.55,49.33,24.09,8.65,4.27,Caution,Caution,1.0,0.0,0.0,0.0
1706,1313.06,697.52,138.56,21.02,5.7,11.04,Warning,Warning,0.0,0.0,0.0,1.0
960,45.81,25.5,32.2,23.56,8.8,9.57,Caution,Caution,1.0,0.0,0.0,0.0
11,60.22,38.23,3.16,27.03,7.83,8.26,Normal,Normal,0.0,1.0,0.0,0.0
1054,49.31,29.8,30.3,23.16,8.94,9.16,Caution,Caution,1.0,0.0,0.0,0.0
2067,7.87,6.2,165.87,16.85,5.37,1.12,Severe,Severe,0.0,0.0,0.955,0.045
210,419.23,218.22,18.98,29.38,7.38,7.11,Normal,Normal,0.0,1.0,0.0,0.0
1227,929.9,489.41,28.73,24.38,6.01,9.35,Caution,Caution,0.99,0.0,0.0,0.01
2017,7.37,0.0,538.43,37.91,5.23,0.75,Severe,Severe,0.0,0.0,1.0,0.0
1369,1370.81,870.46,145.31,33.43,9.15,2.07,Warning,Warning,0.0,0.0,0.0,1.0
1178,37.53,23.69,32.27,23.5,6.43,4.59,Caution,Caution,1.0,0.0,0.0,0.0
1638,17.85,2.78,110.45,20.01,9.21,3.69,Warning,Warning,0.0,0.0,0.12,0.88
1420,1889.31,1177.17,123.23,33.57,5.92,11.23,Warning,Warning,0.0,0.0,0.025,0.975
252,343.1,166.15,3.61,25.16,7.06,7.46,Normal,Normal,0.0,1.0,0.0,0.0
720,769.62,412.94,45.68,30.69,6.11,9.16,Caution,Caution,1.0,0.0,0.0,0.0
3,391.14,250.74,9.51,25.32,7.61,8.31,Normal,Normal,0.0,1.0,0.0,0.0
1548,1656.63,777.94,108.86,22.5,9.35,2.92,Warning,Warning,0.0,0.0,0.0,1.0
838,24.07,12.71,41.48,30.39,8.86,4.21,Caution,Caution,1.0,0.0,0.0,0.0
2134,3.49,0.0,598.33,34.5,4.62,0.9,Severe,Severe,0.0,0.0,0.995,0.005
692,507.6,246.49,26.75,30.75,8.69,9.17,Caution,Caution,0.995,0.005,0.0,0.0
1870,3032.21,1611.89,329.04,17.1,9.73,13.48,Severe,Severe,0.0,0.0,1.0,0.0
133,194.22,100.42,24.43,28.05,8.41,6.02,Normal,Normal,0.0,1.0,0.0,0.0
565,266.67,127.62,13.08,28.85,7.6,6.27,Normal,Normal,0.0,1.0,0.0,0.0
2055,4.24,1.82,215.51,18.75,10.0,1.58,Severe,Severe,0.0,0.0,1.0,0.0
559,176.09,86.8,19.62,28.95,7.77,5.97,Normal,Normal,0.0,1.0,0.0,0.0
1704,1534.97,786.29,117.54,32.22,5.87,3.78,Warning,Warning,0.0,0.0,0.0,1.0
1538,11.98,0.0,77.7,22.32,5.96,11.83,Warning,Warning,0.0,0.0,0.0,1.0
269,94.05,52.59,7.62,29.0,8.04,7.41,Normal,Normal,0.0,1.0,0.0,0.0
709,913.13,459.37,42.89,23.06,8.8,4.73,Caution,Caution,0.995,0.0,0.0,0.005
1792,2010.95,1209.92,277.04,34.47,5.12,1.37,Severe,Severe,0.0,0.0,0.87,0.13
503,191.0,106.96,21.32,27.73,7.78,5.5,Normal,Normal,0.0,1.0,0.0,0.0
955,46.78,22.51,41.39,30.31,8.55,4.2,Caution,Caution,1.0,0.0,0.0,0.0
1426,1235.03,777.68,79.92,22.41,9.06,2.47,Warning,Warning,0.0,0.0,0.0,1.0
286,324.73,161.53,8.38,26.46,6.9,8.89,Normal,Normal,0.0,1.0,0.0,0.0
1219,568.59,264.65,44.82,24.48,8.91,4.44,Caution,Caution,1.0,0.0,0.0,0.0
1066,892.36,414.37,42.52,30.34,6.3,9.73,Caution,Caution,1.0,0.0,0.0,0.0
1387,1577.42,845.9,108.52,32.77,5.77,3.57,Warning,Warning,0.0,0.0,0.0,1.0
501,149.76,80.6,5.64,27.26,7.0,5.35,Normal,Normal,0.0,1.0,0.0,0.0
418,210.34,118.72,14.45,25.19,6.73,6.32,Normal,Normal,0.0,1.0,0.0,0.0
2131,3648.4,2362.14,552.01,15.83,4.61,12.32,Severe,Severe,0.0,0.0,1.0,0.0
266,495.86,268.5,23.28,25.13,6.68,5.81,Normal,Normal,0.0,1.0,0.0,0.0
1998,3927.46,1884.68,426.56,17.96,4.84,12.15,Severe,Severe,0.0,0.0,1.0,0.0
609,430.46,255.26,3.62,28.01,7.69,6.36,Normal,Normal,0.0,1.0,0.0,0.0
1262,873.14,447.36,30.0,30.54,6.42,4.6,Caution,Caution,1.0,0.0,0.0,0.0
1316,1312.04,653.12,126.33,32.1,9.38,3.81,Warning,Warning,0.0,0.0,0.0,1.0
947,32.16,11.99,40.89,23.67,8.88,4.42,Caution,Caution,1.0,0.0,0.0,0.0
1639,16.8,7.86,127.32,32.64,5.93,11.22,Warning,Warning,0.0,0.0,0.0,1.0
1497,1701.69,857.95,60.21,33.48,9.43,11.0,Warning,Warning,0.0,0.0,0.0,1.0
1915,6.41,6.9,432.4,17.05,5.25,13.24,Severe,Severe,0.0,0.0,1.0,0.0
168,323.25,167.13,11.2,27.41,8.12,7.26,Normal,Normal,0.0,1.0,0.0,0.0
557,155.96,78.19,22.73,25.83,6.8,7.63,Normal,Normal,0.0,1.0,0.0,0.0
1954,6.46,0.93,237.1,17.23,5.03,0.72,Severe,Severe,0.0,0.0,1.0,0.0
1116,30.54,19.57,33.5,30.95,6.21,9.9,Caution,Caution,1.0,0.0,0.0,0.0
2069,1.99,9.67,365.28,37.0,4.64,15.6,Severe,Severe,0.0,0.0,1.0,0.0
1721,18.52,16.6,66.2,33.22,9.06,11.08,Warning,Warning,0.0,0.0,0.0,1.0
858,567.1,323.43,25.24,24.86,6.08,9.83,Caution,Caution,1.0,0.0,0.0,0.0
1996,4038.5,1908.53,364.3,34.5,10.37,13.74,Severe,Severe,0.0,0.0,1.0,0.0
50,256.35,133.52,11.62,27.27,6.52,8.3,Normal,Normal,0.0,1.0,0.0,0.0
519,162.0,85.19,1.47,29.3,7.06,6.59,Normal,Normal,0.0,1.0,0.0,0.0
1799,4.38,2.59,253.07,19.61,10.33,1.44,Severe,Severe,0.0,0.0,1.0,0.0
1207,553.4,328.4,35.63,23.9,6.4,9.36,Caution,Caution,1.0,0.0,0.0,0.0
625,138.63,79.5,7.99,27.66,6.97,5.82,Normal,Normal,0.0,1.0,0.0,0.0
246,379.91,171.18,9.86,27.55,7.44,6.25,Normal,Normal,0.0,1.0,0.0,0.0
843,31.77,11.54,41.42,24.84,8.93,4.24,Caution,Caution,1.0,0.0,0.0,0.0
1381,14.46,7.81,110.78,32.65,5.64,3.53,Warning,Warning,0.0,0.0,0.0,1.0
1555,1085.8,521.67,126.64,20.83,9.16,10.91,Warning,Warning,0.015,0.0,0.0,0.985
1564,12.98,13.49,105.25,32.25,5.58,2.88,Warning,Warning,0.0,0.0,0.0,1.0
1452,13.23,7.27,89.3,22.17,5.57,2.65,Warning,Warning,0.0,0.0,0.0,1.0
1113,23.8,12.53,29.09,30.9,8.77,4.07,Caution,Caution,1.0,0.0,0.0,0.0
1115,759.28,349.69,48.02,30.09,6.18,9.83,Caution,Caution,1.0,0.0,0.0,0.0
1404,1183.47,589.26,109.6,22.88,9.18,2.93,Warning,Warning,0.0,0.0,0.0,1.0
1758,1722.71,923.63,96.25,32.4,9.43,2.88,Warning,Warning,0.0,0.0,0.0,1.0
1514,13.42,5.16,88.84,33.2,5.67,2.6,Warning,Warning,0.0,0.0,0.0,1.0
1355,1416.62,696.74,139.16,22.1,9.28,2.89,Warning,Warning,0.0,0.0,0.0,1.0
1776,18.6,12.09,146.81,33.74,5.86,3.49,Warning,Warning,0.0,0.0,0.0,1.0
271,276.21,140.84,4.64,27.51,7.16,6.67,Normal,Normal,0.0,1.0,0.0,0.0
1632,1801.03,862.15,112.51,20.23,9.29,2.43,Warning,Warning,0.0,0.0,0.0,1.0
1280,37.75,24.76,45.78,31.58,6.26,4.04,Caution,Caution,1.0,0.0,0.0,0.0
696,661.27,341.31,47.66,24.78,8.53,4.8,Caution,Caution,1.0,0.0,0.0,0.0
1056,24.12,13.24,47.91,24.87,8.9,4.88,Caution,Caution,1.0,0.0,0.0,0.0
1448,17.95,1.44,112.33,22.22,9.07,2.81,Warning,Warning,0.0,0.0,0.0,1.0
1482,1241.99,803.88,53.92,21.4,9.23,3.15,Warning,Warning,0.0,0.0,0.0,1.0
1723,1499.68,934.93,84.24,21.23,5.58,10.8,Warning,Warning,0.0,0.0,0.0,1.0
1290,29.02,10.84,27.71,30.47,6.44,9.45,Caution,Caution,1.0,0.0,0.0,0.0
2079,6.67,7.3,320.41,37.33,4.83,15.18,Severe,Severe,0.0,0.0,1.0,0.0
