id,Depth(m),Temperatur(degrees C),Salinity,Oxygen(umol/kg),pH,DO_mgL,QualityLevel
122,601.4,8.9367,34.6166,132.8,7.6191,4.2496,1
123,701.01,6.7497,34.6166,100.5,7.5185,3.216,1
124,801.77,5.5743,34.6166,84.8,7.473,2.7136,0
125,825.32,5.3626,34.6166,82.8,7.469,2.6496,0
126,0,23.8964,34.6166,209.5,7.9316,6.704,3
127,10.73,23.8977,34.6166,210.7,8.0887,6.7424,3
128,26.13,23.9122,34.6166,210.2,8.0908,6.7264,3
129,50.57,23.844,34.6166,210.4,8.0864,6.7328,3
130,75.6,23.5555,34.6166,211.3,8.0801,6.7616,3
131,99.73,23.3044,34.6166,208.9,8.0645,6.6848,3
132,125.95,21.5591,34.6166,202.9,8.0326,6.4928,3
133,152.26,20.4362,34.6166,202.7,8.0121,6.4864,3
134,202.49,19.2953,34.6166,205.3,7.9948,6.5696,3
135,252.52,18.4917,34.6166,200.2,7.9764,6.4064,3
136,303.81,17.8369,34.6166,194.4,7.9533,6.2208,2
137,403.8,15.2785,34.6166,187.2,7.8735,5.9904,2
138,505.12,11.9581,34.6166,175.9,7.7714,5.6288,2
139,604.21,9.5457,34.6166,157.7,7.664,5.0464,2
140,704.44,6.8093,34.6166,118.6,7.5335,3.7952,1
141,802.75,5.2701,34.6166,82.4,7.4337,2.6368,0
142,902.09,4.7858,34.6166,69.7,7.4139,2.2304,0
143,1004.46,4.1184,34.6166,60.5,7.4015,1.936,0
144,1203.01,3.3033,34.6166,61.1,7.3987,1.9552,0
145,1400.98,2.7193,34.6166,75.9,7.4297,2.4288,0
146,1598.37,2.378,34.6166,91.5,7.46,2.928,0
147,1798.23,2.1906,34.6166,101.8,7.4764,3.2576,1
148,2008.34,2.0145,34.6166,113,7.4974,3.616,1
149,0,22.0265,34.6166,212,7.9316,6.784,3
150,9.93,22.0342,34.6588,210.8,8.0473,6.7456,3
151,20.16,22.0471,34.6593,211,8.0442,6.752,3
152,30.3,22.041,34.6592,211,8.05,6.752,3
153,50.26,22.0526,34.663,210.6,8.0512,6.7392,3
154,74.79,22.0446,34.6636,210.7,8.0518,6.7424,3
155,100.4,22.007,34.6166,210.9,8.0379,6.7488,3
156,125.62,21.9642,34.6717,210,8.0474,6.72,3
157,150.74,21.3228,34.7912,191.2,7.9998,6.1184,3
158,200.07,19.2551,34.7184,179.7,7.9393,5.7504,3
159,250.67,18.3962,34.6166,187.8,7.9478,6.0096,3
160,299.58,16.9745,34.6861,182.6,7.9061,5.8432,2
161,400.93,14.2537,34.5303,173.1,7.8375,5.5392,2
162,499.95,11.7887,34.3967,154.3,7.7513,4.9376,2
163,599.81,9.0992,34.3161,132.1,7.6845,4.2272,1
164,700.52,7.3716,34.3153,108.9,7.6192,3.4848,1
165,800.09,5.6454,34.3335,85.7,7.5658,2.7424,0
166,859.75,5.1396,34.3647,80.9,7.5512,2.5888,0
167,0,21.239,34.6166,219.7,7.9316,7.0304,3
168,10.23,21.2432,34.7896,218.1,8.0592,6.9792,3
169,24.94,21.2555,34.7898,218.1,8.0477,6.9792,3
170,49.77,21.2617,34.7898,218.6,8.049,6.9952,3
171,75.1,21.2692,34.7927,336.6,8.0523,10.7712,3
172,99.73,21.2684,34.7905,218.1,8.0527,6.9792,3
173,125.35,21.2584,34.793,217.8,8.0539,6.9696,3
174,149.98,19.4647,34.7383,199.6,7.9804,6.3872,3
175,199.42,18.5693,34.7272,200.3,7.9606,6.4096,3
176,251.23,17.6502,34.7267,193.6,7.9386,6.1952,2
177,300.44,16.8655,34.6968,191.2,7.9148,6.1184,2
178,399.73,14.5919,34.5573,184.4,7.8506,5.9008,2
179,500.66,11.4008,34.352,166.2,7.7283,5.3184,2
180,602.13,7.9398,34.2172,126.8,7.5843,4.0576,1
181,701.18,6.2506,34.2113,99.6,7.4912,3.1872,1
182,801.16,5.2422,34.2722,78.6,7.4517,2.5152,0
183,901.3,4.4036,34.3276,66.8,7.4169,2.1376,0
184,1002.97,3.756,34.3713,59.5,7.3996,1.904,0
185,1200.44,3.0404,34.4656,67.1,7.4164,2.1472,0
186,1400.78,2.6242,34.5235,81,7.4408,2.592,0
187,1602.31,2.2988,34.5663,94.6,7.467,3.0272,1
188,1800.2,2.0742,34.5994,108.1,7.4908,3.4592,1
189,1998.2,1.9337,34.6182,117.1,7.5054,3.7472,1
190,0,29.2454,34.6166,196,7.9316,6.272,2
191,11.22,29.2446,34.2079,274.4,8.1083,8.7808,2
192,21.46,29.0618,34.6166,197.3,8.1102,6.3136,2
193,30.79,27.8812,34.6166,205,8.1049,6.56,2
194,51.95,26.182,34.6166,204.4,8.0906,6.5408,2
195,76.57,25.0437,34.6166,199,8.0743,6.368,2
196,99.81,24.0906,34.7744,194.2,8.0494,6.2144,2
197,125.32,22.6063,34.6166,194,8.0318,6.208,3
198,151.23,21.2602,34.6166,197.4,8.0153,6.3168,3
199,201.16,19.8981,34.7901,200.4,7.9974,6.4128,3
200,251.07,19.0022,34.6166,195.6,7.9725,6.2592,3
201,304.24,18.0563,34.6166,192.4,7.9443,6.1568,3
202,402.91,15.3378,34.5909,178.6,7.8631,5.7152,2
203,505.69,12.024,34.6166,155.9,7.7401,4.9888,2
204,604.47,8.9171,34.2892,129.9,7.6322,4.1568,1
205,702.89,7.4172,34.6166,109,7.547,3.488,1
206,799.89,5.9161,34.3469,89.2,7.4898,2.8544,0
207,1003.04,4.3963,34.4087,75,7.4418,2.4,0
208,0,24.4027,209.7,190.9,7.9316,6.1088,2
209,10.63,24.397,208.9,190.9,8.0743,6.1088,2
210,22.25,24.3987,209.1,190.9,8.0722,6.1088,2
211,31.69,24.399,208,190.9,8.0744,6.1088,2
212,49.46,24.4039,210.2,190.9,8.0677,6.1088,2
213,76.87,24.2929,207.5,190.9,8.0671,6.1088,2
214,101.79,22.1893,199,190.9,8.0214,6.1088,2
215,127.81,21.0636,194.9,190.9,8,6.1088,2
216,152.52,20.0772,194.8,190.9,7.9853,6.1088,2
217,202.25,18.8607,195.1,190.9,7.9726,6.1088,2
218,254.74,17.7078,192.6,190.9,7.9348,6.1088,2
219,304.04,16.96,191.3,190.9,7.9157,6.1088,2
220,403.31,13.8452,179,190.9,7.8163,6.1088,2
221,503.02,10.7799,151,190.9,7.6939,6.1088,2
222,504.21,10.7734,151,190.9,7.7003,6.1088,2
223,602.09,8.2224,118.9,190.9,7.5837,6.1088,1
224,699.03,6.4546,95.2,190.9,7.5073,6.1088,1
225,798.41,5.5642,85.5,190.9,7.4738,6.1088,1
226,947.97,4.758,77.7,190.9,7.4475,6.1088,1
227,0,25.7278,34.6166,206.8,7.9316,6.6176,2
228,11.53,25.7269,34.6166,206.5,8.0805,6.608,2
229,27.42,25.7447,34.6166,206.6,8.0858,6.6112,2
230,50.47,25.7471,34.6166,206.6,8.0876,6.6112,2
231,75.6,25.6093,34.6166,207.1,8.0865,6.6272,2
232,101.22,22.9568,34.6166,204.9,8.0419,6.5568,3
233,126.74,21.0958,34.6166,199.7,8.006,6.3904,3
234,149.68,20.1373,34.6166,202.4,8.0007,6.4768,3
235,200.61,19.0652,34.6166,203.2,7.9839,6.5024,3
236,251.52,18.2391,34.6166,204.1,7.9677,6.5312,3
237,302.92,17.6617,34.6166,196.7,7.9435,6.2944,2
238,399.93,15.6059,34.6166,186.6,7.8791,5.9712,2
239,501.25,12.0639,34.6166,173.1,7.7657,5.5392,2
240,602.62,8.8031,34.6166,148.2,7.6384,4.7424,1
241,704.24,7.0718,34.6166,117.4,7.5407,3.7568,1
242,803.44,5.5838,34.6166,79.7,7.4395,2.5504,0
243,804.53,5.5762,34.6166,79.4,7.4412,2.5408,0
244,901.89,4.8365,34.6166,66.2,7.4167,2.1184,0
245,1002.28,4.2287,34.6166,59.2,7.4072,1.8944,0
246,1204.98,3.3309,34.6166,65.6,7.4135,2.0992,0
247,1404.04,2.7745,34.6166,76.3,7.4334,2.4416,0
248,1604.77,2.4435,34.6166,89.9,7.4594,2.8768,0
249,1804.93,2.1891,34.6166,101.6,7.4796,3.2512,1
250,2004.1,2.0205,34.6166,111.7,7.5003,3.5744,1
251,0,22.0342,34.6166,215,8.0573,6.88,3
252,10.93,22.0409,34.6166,213.4,8.0591,6.8288,3
253,21.06,22.042,34.6166,213.4,8.0589,6.8288,3
254,30.49,22.0479,34.6166,213.6,8.0577,6.8352,3
255,50.16,22.0174,34.6166,213.7,8.0566,6.8384,3
256,75.88,21.853,34.6166,214.2,8.0529,6.8544,3
257,100.4,21.8459,34.6166,213.7,8.0567,6.8384,3
258,125.32,21.7954,34.6166,213.5,8.0552,6.832,3
259,150.74,21.7829,34.6166,213.3,8.0516,6.8256,3
260,200.56,20.6828,34.6166,188.4,7.9866,6.0288,3
261,250.18,19.2086,34.6166,189.2,7.9607,6.0544,3
262,299.58,18.0962,34.6166,186.7,7.9316,5.9744,3
263,402.02,15.0026,34.6166,176.2,7.8501,5.6384,2
264,500.94,11.9437,34.6166,156.4,7.7397,5.0048,2
265,600.31,9.9116,34.6166,138.8,7.6607,4.4416,1
266,700.62,7.1987,34.6166,103.9,7.5382,3.3248,1
267,799.49,6.3344,34.6166,93,7.5005,2.976,0
268,832.25,5.7204,34.6166,86.9,7.4844,2.7808,0
269,0,22.6751,34.6166,214.5,8.0665,6.864,3
270,10.53,22.6861,34.8105,214.8,8.0659,6.8736,3
271,25.43,22.6807,34.6166,214.9,8.0658,6.8768,3
272,50.27,22.679,34.6166,214.7,8.0667,6.8704,3
273,75.5,22.6309,34.6166,214.6,8.0655,6.8672,3
274,100.53,20.8228,34.8457,201.5,8.0053,6.448,3
275,125.06,19.6675,34.6166,198.5,7.9841,6.352,3
276,150.28,18.9351,34.6166,200.1,7.972,6.4032,3
277,200.71,17.8411,34.7243,200.6,7.9526,6.4192,2
278,250.73,16.9811,34.6166,196.5,7.9221,6.288,2
279,301.93,16.242,34.6166,204.1,7.8952,6.5312,2
280,400.72,14.0915,34.5067,183,7.8353,5.856,2
281,502.04,10.7748,34.6166,171.3,7.7293,5.4816,2
282,600.35,8.6634,34.2219,138.5,7.6212,4.432,1
283,700.78,6.1836,34.6166,98,7.4868,3.136,1
284,800.47,4.962,34.2727,74.7,7.4312,2.3904,0
285,901,4.0859,34.6166,64.1,7.4095,2.0512,0
286,1001.19,3.5549,34.4045,61.7,7.4095,1.9744,0
287,1199.65,2.9475,34.4773,67.7,7.4174,2.1664,0
288,1400.78,2.5263,34.5319,80.4,7.4411,2.5728,0
289,1600.93,2.2511,34.5727,97.3,7.4747,3.1136,1
290,1802.17,2.0585,34.6009,108.5,7.4976,3.472,1
291,1998.79,1.9118,34.6237,118.2,7.5188,3.7824,1
292,0,24.8832,34.3159,208.8,8.076,6.6816,2
293,10.53,24.8157,34.6166,209.3,8.082,6.6976,2
294,20.76,24.2151,34.6166,211.2,8.0685,6.7584,2
295,32.38,23.3891,34.6166,214,8.0706,6.848,3
296,52.24,23.0623,34.6166,215.7,8.0621,6.9024,3
297,75.68,22.6136,34.6166,214.6,8.0558,6.8672,3
298,101.79,21.8032,34.6166,206.6,8.0361,6.6112,3
299,125.42,21.3055,34.6166,206.3,8.025,6.6016,3
300,150.94,20.5125,34.6166,213.6,8.0282,6.8352,3
301,202.74,19.9403,34.6166,207.8,8.0084,6.6496,3
302,249.08,18.9294,34.6166,199.8,7.9733,6.3936,3
303,301.36,17.8851,34.6166,196.3,7.9552,6.2816,2
304,404.2,15.5381,34.6166,184.4,7.8698,5.9008,2
305,501.93,13.321,34.6166,173.2,7.7951,5.5424,2
306,601.1,10.1057,34.6166,144.5,7.6661,4.624,2
307,700.12,7.4446,34.6166,109.6,7.5442,3.5072,1
308,800.88,5.7179,34.6166,88.3,7.4809,2.8256,0
309,890.81,5.2042,34.6166,81.6,7.4562,2.6112,0
310,0,27.6377,33.5136,199.1,8.0721,6.3712,2
311,11.03,27.6595,33.7023,199.1,8.0724,6.3712,2
312,21.06,27.5473,34.6166,199.3,8.0721,6.3776,2
313,31.39,27.4679,33.8036,198.4,8.0726,6.3488,2
314,52.94,26.7032,34.1225,195.4,8.067,6.2528,2
315,76.37,22.3033,34.6166,180.2,7.9897,5.7664,3
316,101.69,18.6745,34.665,173.2,7.9105,5.5424,3
317,113.7,17.23,34.6422,171.4,7.881,5.4848,2
318,0,26.5371,34.3002,203.9,8.076,6.5248,2
319,11.03,26.4591,34.6166,204.1,8.0744,6.5312,2
320,21.36,26.2804,34.6166,204.1,8.0745,6.5312,2
321,30.99,26.2397,34.6166,204.8,8.073,6.5536,2
322,51.15,26.1389,34.6166,204.3,8.0737,6.5376,2
323,75.88,25.4496,34.6166,201.6,8.056,6.4512,2
324,100.9,23.8079,34.6166,200,8.0382,6.4,3
325,125.62,21.9571,34.6166,196.1,8.0093,6.2752,3
326,150.24,20.7309,34.6166,193.9,7.9881,6.2048,3
327,201.75,18.8888,34.6166,192.4,7.9526,6.1568,3
328,250.77,17.6042,34.6166,189.4,7.9213,6.0608,2
329,300.37,16.4532,34.6166,183.9,7.8894,5.8848,2
330,400.23,14.0577,34.6166,171.6,7.7999,5.4912,2
331,500.84,11.2141,34.6166,153.2,7.7077,4.9024,2
332,599.81,8.3515,34.6166,121.6,7.5881,3.8912,1
333,701.31,6.7999,34.6166,100,7.5171,3.2,1
334,801.77,5.6302,34.6166,85.8,7.4718,2.7456,0
335,830.86,5.3583,34.6166,83,7.4596,2.656,0
336,0,26.8357,34.7045,204.8,8.0696,6.5536,2
337,11.43,26.5787,34.6985,205.8,8.0695,6.5856,2
338,26.53,24.9694,34.6166,210.2,8.0652,6.7264,2
339,51.26,23.9286,34.6166,215.5,8.0563,6.896,3
340,76.39,20.5407,34.6166,218.8,8.0207,7.0016,3
341,101.32,19.7491,34.8139,214.8,8.0087,6.8736,3
342,125.45,19.3809,34.6166,213.7,8.0015,6.8384,3
343,151.27,19.18,34.6166,213.8,7.9956,6.8416,3
344,200.91,18.9007,34.7938,215.4,7.9979,6.8928,3
345,252.02,18.6804,34.6166,214.6,7.9905,6.8672,3
346,301.53,18.0897,34.742,202.6,7.9541,6.4832,3
347,402.01,15.8463,34.612,190.9,7.8808,6.1088,2
348,502.24,13.2474,34.6166,187,7.8019,5.984,2
349,601.43,10.0032,34.2122,170.6,7.6904,5.4592,2
350,701.77,7.7445,34.6166,135.4,7.5714,4.3328,1
351,801.06,6.1133,34.1388,96.4,7.4638,3.0848,1
352,901.99,5.0767,34.6166,72.2,7.4061,2.3104,0
353,1002.87,4.3277,34.29,61.2,7.387,1.9584,0
354,1202.02,3.2974,34.4232,60,7.3874,1.92,0
355,1402.16,2.7659,34.6166,72.6,7.4148,2.3232,0
356,1601.22,2.4657,34.548,87.1,7.4413,2.7872,0
357,1801.68,2.1808,34.5841,101.5,7.4703,3.248,1
358,2002.73,1.9692,34.613,114.5,7.4946,3.664,1
359,0,21.6956,34.7014,218.8,8.0526,7.0016,3
360,10.43,21.6891,34.6166,218.7,8.0522,6.9984,3
361,25.34,21.6785,34.6166,218.6,8.0514,6.9952,3
362,50.77,21.6821,34.6957,218.5,8.0534,6.992,3
363,74.7,21.6858,34.6166,218.6,8.0545,6.9952,3
364,100.73,21.6424,34.6166,216.9,8.0485,6.9408,3
365,125.55,20.5364,34.8453,194.3,7.9911,6.2176,3
366,150.87,19.4262,34.6166,203.3,7.9858,6.5056,3
367,202.2,18.8665,34.6166,212.9,7.9933,6.8128,3
368,252.42,18.5433,34.7762,209.9,7.9828,6.7168,3
369,299.85,17.6943,34.6166,206.8,7.9547,6.6176,2
370,400.92,16.7483,34.6738,196.4,7.9144,6.2848,2
371,500.36,13.7787,34.4787,182.6,7.8196,5.8432,2
372,599.35,10.4656,34.2754,166.2,7.704,5.3184,2
373,700.78,7.4763,34.1478,129.5,7.5618,4.144,1
374,799.48,5.6606,34.1928,90.3,7.4586,2.8896,0
375,900.61,4.812,34.25,72,7.416,2.304,0
376,1001.69,4.1639,34.3083,61.1,7.3885,1.9552,0
377,1199.35,3.2315,34.4313,61.3,7.3934,1.9616,0
378,1402.06,2.7784,34.4989,73.3,7.42,2.3456,0
379,1601.91,2.4061,34.5547,90.2,7.4535,2.8864,0
380,1800.69,2.1525,34.5915,103.8,7.4783,3.3216,1
381,1998.89,1.9715,34.6163,115.5,7.5003,3.696,1
382,0,22.4304,34.7652,220,8.0571,7.04,3
383,11.43,22.4313,34.7696,219.7,8.0623,7.0304,3
384,25.34,22.4215,34.6166,220.2,8.0621,7.0464,3
385,50.87,21.5925,34.6166,223.7,8.06,7.1584,3
386,74.51,20.8034,34.6166,221.8,8.0404,7.0976,3
387,100.03,20.2236,34.8041,222.3,8.0343,7.1136,3
388,124.96,19.853,34.6166,217.2,8.0209,6.9504,3
389,149.88,19.1878,34.6166,212.6,8.0034,6.8032,3
390,200.71,18.4527,34.7622,208,7.9819,6.656,3
391,250.93,17.5463,34.6166,203.2,7.9545,6.5024,2
392,300.04,16.6612,34.6166,200.3,7.9302,6.4096,2
393,399.63,14.7568,34.5394,186.6,7.8624,5.9712,2
394,500.26,11.289,34.6166,169.8,7.7414,5.4336,2
395,601.24,8.513,34.1936,142.3,7.6264,4.5536,1
396,700.88,6.5666,34.6166,111.5,7.5224,3.568,1
397,801.86,5.309,34.1985,83.1,7.4472,2.6592,0
398,901.5,4.4497,34.6166,65.8,7.4106,2.1056,0
399,1002.97,3.8098,34.3487,58,7.3942,1.856,0
400,1201.33,3.0655,34.4601,65.7,7.4151,2.1024,0
401,1399.4,2.6249,34.5248,80.7,7.4448,2.5824,0
402,1601.62,2.3043,34.5664,95.7,7.4723,3.0624,1
403,1800.79,2.0988,34.5971,108.3,7.4979,3.4656,1
404,2000.56,1.9513,34.6176,117.1,7.5121,3.7472,1
405,0,26.6934,33.8937,206.31,8.0824,6.60192,2
406,10.13,26.7019,33.8908,206.8,8.0814,6.6176,2
407,50.75,22.8551,34.6021,200.94,8.0329,6.43008,3
408,100.7,18.9612,34.6181,158.47,7.895,5.07104,3
409,121.44,15.9753,34.573,159.54,7.8434,5.10528,2
410,0,26.8381,33.8397,206.64,8.0805,6.61248,2
411,10.03,26.8073,33.8487,207.41,8.0777,6.63712,2
412,49.86,25.8528,34.0029,210.1,8.0656,6.7232,2
413,99.8,20.9477,34.5386,177.82,7.9613,5.69024,3
414,150.73,19.2569,34.6711,172.8,7.9331,5.5296,3
415,201.35,13.683,34.5004,162.67,7.8067,5.20544,2
416,249.97,11.3613,34.3894,144.88,7.7163,4.63616,2
417,270.8,11.1514,34.3808,143.83,7.7075,4.60256,2
418,270.9,11.1583,34.3799,143.9,7.7092,4.6048,2
419,0,27.9752,33.9636,201.42,7.9316,6.44544,2
420,10.03,27.963,34.0005,201.23,8.0908,6.43936,2
421,50.06,25.0984,34.5902,214.27,8.0785,6.85664,2
422,99.71,21.5795,34.7789,206.65,8.0316,6.6128,3
423,149.15,20.3676,34.799,203.23,8.0114,6.50336,3
424,200.06,18.878,34.7809,195.26,7.9709,6.24832,3
425,250.27,17.5903,34.7201,193.56,7.9398,6.19392,2
426,300.27,16.7304,34.6689,191.71,7.9207,6.13472,2
427,398.94,13.1397,34.4397,173.26,7.8011,5.54432,2
428,500.13,10.6513,34.318,150.54,7.7017,4.81728,2
429,599.3,8.6061,34.29,122.58,7.6089,3.92256,1
430,700.6,6.639,34.2439,102.15,7.5305,3.2688,1
431,801.36,5.9119,34.3147,90.11,7.4983,2.88352,0
432,902.46,5.1189,34.3649,79.27,7.4705,2.53664,0
433,993.62,4.3895,34.4015,74.77,7.4502,2.39264,0
434,0,27.4367,34.1817,201.41,8.083,6.44512,2
435,10.23,27.4365,34.1953,201.72,8.0805,6.45504,2
436,50.06,23.9138,34.5989,211.17,8.0601,6.75744,3
437,98.52,21.6751,34.7577,211.18,8.0394,6.75776,3
438,149.05,20.747,34.8189,202.17,8.0132,6.46944,3
439,200.07,18.9607,34.786,196.49,7.9756,6.28768,3
440,249.48,18.0338,34.7464,196.41,7.9555,6.28512,3
441,299.18,17.0709,34.6923,190.14,7.9226,6.08448,2
442,402.61,14.7747,34.5453,181.61,7.8561,5.81152,2
